job desc , T , job val ,0, bearing target ,0, bearing now ,0
enc_dist ,56.140979, enc_theta ,-0.020674, imu_theta ,0, output_theta ,-0.010337
enc_dist ,56.159812, enc_theta ,0.005908, imu_theta ,0.100006, output_theta ,0.052957
enc_dist ,56.178645, enc_theta ,0.00886, imu_theta ,-0.100006, output_theta ,-0.045573
enc_dist ,53.937526, enc_theta ,0.023627, imu_theta ,0.100006, output_theta ,0.061817
enc_dist ,40.227149, enc_theta ,0.059068, imu_theta ,0, output_theta ,0.029534
enc_dist ,38.833512, enc_theta ,-0.005907, imu_theta ,0, output_theta ,-0.002953
enc_dist ,38.023696, enc_theta ,-0.038394, imu_theta ,0.100006, output_theta ,0.030806
enc_dist ,37.910698, enc_theta ,0.002952, imu_theta ,0, output_theta ,0.001476
enc_dist ,37.176214, enc_theta ,0.082695, imu_theta ,0, output_theta ,0.041348
enc_dist ,37.609371, enc_theta ,0.062022, imu_theta ,0, output_theta ,0.031011
enc_dist ,38.080195, enc_theta ,0, imu_theta ,0, output_theta ,0
enc_dist ,38.30619, enc_theta ,-0.029534, imu_theta ,0.100006, output_theta ,0.035236
enc_dist ,38.532185, enc_theta ,-0.041347, imu_theta ,0, output_theta ,-0.020674
enc_dist ,37.722369, enc_theta ,0.020674, imu_theta ,0, output_theta ,0.010337
enc_dist ,37.873032, enc_theta ,0.056115, imu_theta ,0, output_theta ,0.028057
enc_dist ,37.854199, enc_theta ,-0.041348, imu_theta ,0.099976, output_theta ,0.029314
enc_dist ,38.325023, enc_theta ,-0.02658, imu_theta ,0.100006, output_theta ,0.036713
enc_dist ,37.910698, enc_theta ,0.073835, imu_theta ,0, output_theta ,0.036918
enc_dist ,38.080195, enc_theta ,0.005908, imu_theta ,0, output_theta ,0.002954
enc_dist ,38.193192, enc_theta ,-0.035441, imu_theta ,0, output_theta ,-0.01772
enc_dist ,38.11786, enc_theta ,-0.023627, imu_theta ,0, output_theta ,-0.011814
enc_dist ,38.268524, enc_theta ,0.011813, imu_theta ,0, output_theta ,0.005907
enc_dist ,34.991593, enc_theta ,0.005908, imu_theta ,0, output_theta ,0.002954
enc_dist ,24.689978, enc_theta ,0.085649, imu_theta ,0, output_theta ,0.042824
enc_dist ,23.145677, enc_theta ,0.044301, imu_theta ,0.100006, output_theta ,0.072154
enc_dist ,22.957348, enc_theta ,-0.020674, imu_theta ,0.1, output_theta ,0.039663
enc_dist ,22.411193, enc_theta ,0.005907, imu_theta ,0, output_theta ,0.002953
enc_dist ,4.519904, enc_theta ,-0.011814, imu_theta ,0, output_theta ,-0.005907
distance completed ,2978.522835, robot direction ,1.547657,,,,
,,,,,,,
enc_dist ,-0.037666, enc_theta ,0, imu_theta ,0, output_theta ,0
